1_v_B,0.26,0.23,0.27,0.24,0.21,0.23,0.24,0.26,0.26,0.27,0.22,0.27,0.28,0.28,0.27,0.19,0.22,0.28,0.28,0.26,0.14,0.17,0.23,0.26,0.25
1_v_G,0.22,0.2,0.25,0.22,0.19,0.19,0.21,0.24,0.24,0.25,0.18,0.25,0.26,0.26,0.25,0.16,0.2,0.27,0.26,0.25,0.12,0.14,0.21,0.24,0.22
1_v_R,0.19,0.18,0.23,0.2,0.18,0.17,0.2,0.23,0.24,0.24,0.16,0.23,0.25,0.25,0.24,0.14,0.19,0.26,0.26,0.24,0.1,0.13,0.2,0.23,0.21
1_h_B,0.07,0.09,0.12,0.13,0.12,0.08,0.09,0.14,0.16,0.18,0.1,0.13,0.16,0.18,0.19,0.11,0.14,0.19,0.21,0.19,0.07,0.12,0.16,0.2,0.2
1_h_G,0.07,0.08,0.12,0.12,0.12,0.07,0.09,0.13,0.16,0.17,0.1,0.12,0.16,0.18,0.19,0.11,0.14,0.19,0.21,0.18,0.07,0.11,0.15,0.19,0.19
1_h_R,0.07,0.08,0.11,0.12,0.12,0.07,0.08,0.13,0.15,0.16,0.09,0.12,0.15,0.17,0.18,0.1,0.13,0.18,0.2,0.18,0.06,0.1,0.15,0.19,0.19
2_v_B,0.43,0.43,0.45,0.44,0.41,0.43,0.43,0.46,0.48,0.49,0.39,0.43,0.44,0.49,0.5,0.34,0.38,0.46,0.49,0.49,0.28,0.31,0.38,0.45,0.47
2_v_G,0.42,0.42,0.45,0.43,0.4,0.42,0.42,0.45,0.47,0.49,0.38,0.42,0.43,0.49,0.5,0.32,0.37,0.46,0.48,0.48,0.27,0.3,0.37,0.44,0.46
2_v_R,0.41,0.41,0.44,0.43,0.4,0.41,0.42,0.44,0.47,0.48,0.37,0.42,0.42,0.48,0.49,0.31,0.36,0.45,0.48,0.48,0.26,0.29,0.36,0.43,0.45
2_h_B,0.28,0.28,0.29,0.3,0.28,0.3,0.31,0.35,0.37,0.38,0.32,0.35,0.37,0.41,0.43,0.31,0.34,0.4,0.44,0.42,0.3,0.31,0.33,0.39,0.4
2_h_G,0.27,0.27,0.28,0.3,0.27,0.3,0.3,0.34,0.36,0.38,0.31,0.34,0.37,0.4,0.42,0.31,0.33,0.4,0.43,0.42,0.29,0.3,0.32,0.38,0.39
2_h_R,0.27,0.26,0.27,0.29,0.27,0.29,0.3,0.34,0.36,0.37,0.31,0.34,0.37,0.4,0.42,0.3,0.33,0.39,0.43,0.42,0.28,0.3,0.31,0.38,0.39
3_v_B,0.6,0.59,0.59,0.58,0.58,0.6,0.58,0.57,0.6,0.63,0.55,0.57,0.54,0.6,0.63,0.5,0.53,0.6,0.63,0.63,0.46,0.49,0.52,0.6,0.64
3_v_G,0.6,0.59,0.58,0.57,0.57,0.6,0.57,0.57,0.6,0.62,0.55,0.57,0.54,0.59,0.62,0.49,0.52,0.59,0.63,0.63,0.46,0.48,0.51,0.6,0.63
3_v_R,0.59,0.59,0.58,0.57,0.57,0.59,0.57,0.57,0.59,0.62,0.54,0.56,0.54,0.59,0.62,0.49,0.51,0.59,0.63,0.62,0.46,0.48,0.5,0.59,0.63
3_h_B,0.53,0.51,0.5,0.46,0.43,0.54,0.53,0.52,0.53,0.55,0.53,0.53,0.52,0.54,0.58,0.52,0.53,0.58,0.6,0.6,0.52,0.52,0.5,0.56,0.57
3_h_G,0.53,0.5,0.49,0.46,0.43,0.53,0.52,0.52,0.52,0.54,0.53,0.53,0.52,0.54,0.58,0.52,0.52,0.57,0.6,0.59,0.52,0.51,0.49,0.55,0.57
3_h_R,0.52,0.5,0.49,0.45,0.43,0.53,0.52,0.51,0.52,0.54,0.52,0.52,0.52,0.54,0.57,0.51,0.52,0.57,0.6,0.59,0.51,0.51,0.49,0.55,0.57
